Id,true_answer,pred_answer,true_perm_idx,pred_perm_idx,gt_rank,top1_margin,correct
9UKotH,"[1, 2, 3, 4]","[2, 1, 3, 4]",0,6,2,0.6046649813652039,0
V6GBIH,"[1, 2, 3, 4]","[4, 2, 3, 1]",0,21,6,0.9334503412246704,0
6Nn9Ue,"[1, 4, 3, 2]","[2, 4, 3, 1]",5,19,7,0.3434407114982605,0
2NdnQg,"[3, 4, 2, 1]","[4, 3, 1, 2]",22,17,13,0.09688127040863037,0
4dLyDK,"[1, 4, 2, 3]","[1, 2, 4, 3]",3,1,19,0.20027947425842285,0
KW59dQ,"[4, 2, 3, 1]","[4, 1, 3, 2]",21,11,3,2.897414207458496,0
AbmkL5,"[3, 4, 2, 1]","[3, 4, 1, 2]",22,16,2,1.653052568435669,0
6qPlnh,"[1, 2, 4, 3]","[4, 2, 1, 3]",1,15,21,0.06442821025848389,0
hi5ovh,"[1, 2, 3, 4]","[1, 3, 2, 4]",0,2,2,0.14016127586364746,0
i8A5K1,"[4, 1, 3, 2]","[1, 3, 4, 2]",11,4,13,0.0373072624206543,0
Yzx9Nm,"[4, 2, 3, 1]","[2, 4, 3, 1]",21,19,2,0.26861071586608887,0
YwAVtn,"[4, 3, 2, 1]","[2, 4, 3, 1]",23,19,10,0.18919765949249268,0
rU3vR8,"[3, 1, 4, 2]","[2, 1, 3, 4]",10,6,4,0.6839455366134644,0
iyTNXZ,"[3, 1, 4, 2]","[2, 1, 4, 3]",10,7,3,0.40098512172698975,0
NkqGXm,"[2, 4, 1, 3]","[4, 2, 3, 1]",13,21,22,0.12961113452911377,0
ibQw4b,"[3, 4, 1, 2]","[4, 1, 2, 3]",16,9,19,0.1528383493423462,0
8oPQ4x,"[3, 4, 2, 1]","[4, 3, 2, 1]",22,23,2,0.29371178150177,0
GLs2o8,"[3, 2, 1, 4]","[2, 1, 4, 3]",14,7,18,0.43360084295272827,0
pnWlVP,"[4, 2, 1, 3]","[4, 2, 3, 1]",15,21,6,0.09222924709320068,0
apyQyU,"[1, 4, 2, 3]","[1, 3, 2, 4]",3,2,4,6.163100242614746,0
v8aAzo,"[1, 4, 2, 3]","[4, 1, 2, 3]",3,9,13,3.863391399383545,0
lPXauE,"[4, 1, 2, 3]","[3, 1, 4, 2]",9,10,3,0.02385479211807251,0
5Cg0en,"[3, 4, 1, 2]","[3, 4, 2, 1]",16,22,2,0.21186563372612,0
F6dmww,"[3, 1, 4, 2]","[3, 2, 1, 4]",10,14,18,0.3113374710083008,0
7bsTTR,"[2, 4, 1, 3]","[3, 2, 4, 1]",13,20,13,0.422910213470459,0
DWASXY,"[2, 4, 1, 3]","[3, 2, 4, 1]",13,20,22,0.12835609912872314,0
YK1wDW,"[3, 1, 2, 4]","[4, 1, 2, 3]",8,9,7,0.011690378189086914,0
zmwVjr,"[3, 1, 2, 4]","[3, 4, 1, 2]",8,16,16,0.16116547584533691,0
AgZdr4,"[4, 2, 1, 3]","[3, 2, 1, 4]",15,14,2,0.8974106311798096,0
PnLRHB,"[4, 2, 3, 1]","[2, 4, 3, 1]",21,19,3,0.8840261697769165,0
4LQwdm,"[2, 4, 3, 1]","[2, 3, 4, 1]",19,18,2,0.06164073944091797,0
zcto0k,"[2, 4, 1, 3]","[1, 3, 4, 2]",13,4,18,0.2415933609008789,0
5RIPLb,"[3, 2, 1, 4]","[4, 2, 3, 1]",14,21,14,0.06500732898712158,0
ohooE5,"[2, 1, 3, 4]","[2, 3, 4, 1]",6,18,11,0.0340195894241333,0
6IDv6N,"[4, 2, 3, 1]","[3, 2, 4, 1]",21,20,3,2.5595216751098633,0
GQirAV,"[3, 4, 2, 1]","[2, 4, 3, 1]",22,19,3,0.23005199432373047,0
u2qny6,"[1, 4, 2, 3]","[4, 3, 1, 2]",3,17,15,0.6388949751853943,0
tv4Ef4,"[1, 2, 3, 4]","[1, 2, 4, 3]",0,1,6,0.11214983463287354,0
bMa4OG,"[1, 3, 2, 4]","[2, 3, 1, 4]",2,12,3,1.9855327606201172,0
9CcX4m,"[1, 2, 3, 4]","[4, 3, 2, 1]",0,23,24,0.1745760440826416,0
gqRV41,"[4, 2, 1, 3]","[1, 3, 2, 4]",15,2,12,0.3073275685310364,0
Gqh90p,"[3, 4, 2, 1]","[4, 3, 1, 2]",22,17,11,0.21322530508041382,0
Xb2xN5,"[1, 4, 2, 3]","[2, 1, 3, 4]",3,6,12,0.3014930486679077,0
qNfUOX,"[1, 2, 4, 3]","[4, 3, 2, 1]",1,23,22,0.03632545471191406,0
g4qiDC,"[1, 2, 3, 4]","[2, 1, 3, 4]",0,6,2,1.944471836090088,0
vF1nFV,"[3, 1, 4, 2]","[1, 3, 4, 2]",10,4,5,0.08089625835418701,0
qEcTHD,"[1, 4, 2, 3]","[1, 2, 4, 3]",3,1,7,0.11653351783752441,0
bUWJHg,"[1, 4, 2, 3]","[3, 4, 1, 2]",3,16,14,0.07316243648529053,0
ixIhQv,"[3, 4, 1, 2]","[2, 4, 3, 1]",16,19,9,0.07303440570831299,0
48ZLHd,"[4, 2, 3, 1]","[3, 2, 4, 1]",21,20,2,0.2139209508895874,0
MIDVip,"[1, 3, 4, 2]","[4, 1, 3, 2]",4,11,12,0.028676092624664307,0
C6p7Fc,"[2, 1, 4, 3]","[3, 4, 1, 2]",7,16,24,0.02600574493408203,0
OyLQQL,"[3, 2, 4, 1]","[3, 4, 2, 1]",20,22,2,1.0725572109222412,0
dF8uEW,"[4, 1, 2, 3]","[3, 2, 4, 1]",9,20,17,0.2020314335823059,0
VRCne8,"[1, 3, 4, 2]","[2, 4, 3, 1]",4,19,4,0.024652600288391113,0
P5e6Gq,"[3, 2, 1, 4]","[2, 4, 1, 3]",14,13,9,0.36704903841018677,0
vDpxDG,"[4, 3, 1, 2]","[3, 1, 2, 4]",17,8,8,0.24974101781845093,0
zGwe7q,"[4, 2, 1, 3]","[4, 3, 1, 2]",15,17,2,0.12831711769104004,0
Y7QD3w,"[1, 2, 3, 4]","[4, 2, 3, 1]",0,21,7,0.16017663478851318,0
XOo4HJ,"[1, 3, 2, 4]","[2, 4, 1, 3]",2,13,4,0.22865283489227295,0
mGo5rj,"[2, 4, 1, 3]","[3, 1, 4, 2]",13,10,14,0.13499808311462402,0
b0kHKS,"[3, 4, 1, 2]","[3, 2, 1, 4]",16,14,5,0.3107949495315552,0
hxXWEw,"[2, 1, 3, 4]","[1, 4, 2, 3]",6,3,18,0.30669641494750977,0
IFbK0f,"[1, 3, 2, 4]","[2, 3, 1, 4]",2,12,3,0.2896699905395508,0
ZN3iPd,"[3, 1, 2, 4]","[4, 1, 2, 3]",8,9,2,6.3342509269714355,0
HYS7Dj,"[4, 1, 2, 3]","[3, 1, 2, 4]",9,8,4,1.2779114246368408,0
GbUtC4,"[2, 3, 1, 4]","[3, 1, 2, 4]",12,8,6,0.0,0
5WAF9F,"[3, 2, 4, 1]","[2, 4, 3, 1]",20,19,5,0.0,0
b9VmJi,"[1, 2, 3, 4]","[1, 2, 4, 3]",0,1,2,0.5434032678604126,0
0pG0wy,"[3, 1, 2, 4]","[4, 1, 2, 3]",8,9,3,0.46248626708984375,0
VrRBCv,"[1, 2, 3, 4]","[1, 3, 4, 2]",0,4,7,0.19805163145065308,0
y0Uucv,"[1, 4, 2, 3]","[3, 1, 4, 2]",3,10,21,0.024344205856323242,0
X5fx7z,"[2, 1, 3, 4]","[1, 3, 2, 4]",6,2,8,0.3659660816192627,0
0hfM55,"[2, 4, 3, 1]","[3, 1, 4, 2]",19,10,19,0.265078067779541,0
Xbo7Hf,"[3, 1, 2, 4]","[1, 2, 3, 4]",8,0,4,0.07641971111297607,0
BwqaXN,"[2, 1, 4, 3]","[4, 2, 3, 1]",7,21,17,0.18133163452148438,0
4L42GS,"[3, 1, 2, 4]","[2, 4, 3, 1]",8,19,24,0.3236631155014038,0
79YozX,"[2, 4, 1, 3]","[1, 4, 2, 3]",13,3,4,0.10124528408050537,0
Nw9mJO,"[2, 1, 3, 4]","[4, 3, 1, 2]",6,17,17,0.16406500339508057,0
2JBpG0,"[3, 4, 1, 2]","[2, 3, 1, 4]",16,12,11,0.3099350929260254,0
icn13h,"[3, 4, 1, 2]","[3, 4, 2, 1]",16,22,2,2.191812753677368,0
7elRe1,"[2, 4, 1, 3]","[4, 1, 2, 3]",13,9,8,0.5118892192840576,0
2JgDM8,"[4, 1, 2, 3]","[4, 2, 3, 1]",9,21,11,0.10456138849258423,0
L3tklx,"[3, 2, 4, 1]","[4, 2, 3, 1]",20,21,2,0.2919749617576599,0
7sUZPq,"[1, 3, 2, 4]","[1, 3, 4, 2]",2,4,10,0.4522639513015747,0
VFDkLi,"[3, 4, 2, 1]","[2, 4, 3, 1]",22,19,3,0.6623603701591492,0
gzcc0g,"[4, 3, 2, 1]","[3, 4, 2, 1]",23,22,2,0.4662470817565918,0
wYXRYA,"[2, 3, 1, 4]","[2, 4, 3, 1]",12,19,19,0.03752046823501587,0
5y7bLf,"[3, 2, 1, 4]","[4, 2, 1, 3]",14,15,2,1.3186872005462646,0
6YVTCN,"[4, 1, 3, 2]","[2, 1, 4, 3]",11,7,2,0.2297682762145996,0
sG5wbZ,"[1, 2, 3, 4]","[3, 2, 1, 4]",0,14,4,3.4111130237579346,0
BdoK2L,"[1, 2, 3, 4]","[1, 2, 4, 3]",0,1,2,0.20256155729293823,0
cMDn72,"[2, 4, 3, 1]","[3, 4, 2, 1]",19,22,3,2.0871424674987793,0
Zv3VzH,"[4, 1, 2, 3]","[3, 1, 2, 4]",9,8,2,0.2560155391693115,0
PGnk3W,"[4, 2, 1, 3]","[4, 2, 3, 1]",15,21,5,0.07497763633728027,0
Q6n1VW,"[4, 2, 1, 3]","[1, 2, 4, 3]",15,1,22,0.24168306589126587,0
O7FRDb,"[1, 4, 3, 2]","[1, 2, 3, 4]",5,0,5,0.06605857610702515,0
2py2Nc,"[1, 2, 3, 4]","[1, 3, 2, 4]",0,2,2,0.04887712001800537,0
sX6eQ5,"[1, 2, 3, 4]","[4, 1, 2, 3]",0,9,6,0.34931671619415283,0
frT9Hr,"[3, 4, 2, 1]","[3, 4, 1, 2]",22,16,2,2.873893976211548,0
ZysORF,"[4, 2, 3, 1]","[4, 1, 3, 2]",21,11,5,0.31492483615875244,0
d6P6B3,"[3, 1, 2, 4]","[4, 1, 2, 3]",8,9,3,1.7417752742767334,0
kUGa4Q,"[3, 4, 1, 2]","[4, 3, 1, 2]",16,17,5,0.08830106258392334,0
Ro1tzQ,"[3, 4, 2, 1]","[1, 4, 3, 2]",22,5,8,0.5540555119514465,0
rilJyJ,"[3, 4, 1, 2]","[4, 1, 2, 3]",16,9,11,0.021114230155944824,0
34aKnr,"[1, 4, 3, 2]","[1, 4, 2, 3]",5,3,2,0.32050228118896484,0
8XISva,"[2, 1, 3, 4]","[3, 4, 1, 2]",6,16,20,1.0144740343093872,0
7dHhvx,"[4, 1, 3, 2]","[2, 1, 4, 3]",11,7,6,0.043625712394714355,0
xHvlaX,"[1, 2, 4, 3]","[3, 2, 4, 1]",1,20,5,0.01746213436126709,0
uMnYYf,"[3, 2, 4, 1]","[3, 2, 1, 4]",20,14,16,0.46654367446899414,0
bAMf36,"[2, 3, 4, 1]","[3, 4, 2, 1]",18,22,11,0.005354046821594238,0
OW6Njp,"[1, 2, 3, 4]","[3, 1, 2, 4]",0,8,7,0.09180986881256104,0
vgtS4L,"[2, 3, 4, 1]","[2, 4, 3, 1]",18,19,3,0.22857177257537842,0
U8Ufr6,"[4, 2, 3, 1]","[1, 3, 4, 2]",21,4,20,0.21823394298553467,0
JqNSI2,"[3, 2, 1, 4]","[2, 1, 3, 4]",14,6,7,0.5821801424026489,0
WoTOq2,"[1, 4, 3, 2]","[1, 2, 4, 3]",5,1,10,0.06481778621673584,0
BBGRcO,"[1, 2, 3, 4]","[3, 4, 2, 1]",0,22,11,0.017797112464904785,0
DESDcx,"[2, 4, 1, 3]","[1, 4, 2, 3]",13,3,2,0.717522144317627,0
yv4EGq,"[1, 2, 3, 4]","[2, 4, 3, 1]",0,19,21,0.20653551816940308,0
7sNgYZ,"[4, 1, 2, 3]","[4, 2, 1, 3]",9,15,2,3.3758597373962402,0
KT5W3g,"[1, 4, 3, 2]","[3, 1, 2, 4]",5,8,13,0.16750073432922363,0
pVz6dn,"[1, 3, 2, 4]","[1, 4, 2, 3]",2,3,2,0.579149067401886,0
jLXFqf,"[4, 2, 3, 1]","[1, 4, 3, 2]",21,5,19,0.9664602875709534,0
83pJ57,"[3, 4, 1, 2]","[4, 3, 1, 2]",16,17,3,1.8087620735168457,0
q8gTSV,"[4, 3, 2, 1]","[3, 4, 2, 1]",23,22,2,1.2132108211517334,0
EQpDDa,"[3, 4, 2, 1]","[3, 2, 4, 1]",22,20,7,1.009124994277954,0
HfQOVx,"[3, 1, 2, 4]","[3, 1, 4, 2]",8,10,6,0.024911880493164062,0
e1pLSC,"[1, 2, 4, 3]","[4, 3, 2, 1]",1,23,22,0.11041903495788574,0
6XN1ZC,"[3, 4, 2, 1]","[4, 2, 1, 3]",22,15,15,0.026546478271484375,0
MR1lTV,"[4, 1, 3, 2]","[4, 1, 2, 3]",11,9,3,0.4566403031349182,0
S5fyFe,"[2, 4, 3, 1]","[2, 3, 4, 1]",19,18,2,3.319141387939453,0
V0AgmY,"[2, 1, 4, 3]","[1, 2, 4, 3]",7,1,2,1.0582995414733887,0
6nBkgV,"[3, 2, 4, 1]","[1, 3, 4, 2]",20,4,11,0.07781398296356201,0
cKe0Z1,"[4, 2, 3, 1]","[3, 2, 4, 1]",21,20,2,0.04888993501663208,0
trpR4q,"[3, 2, 1, 4]","[4, 3, 1, 2]",14,17,3,0.11489439010620117,0
Givhdf,"[3, 4, 1, 2]","[2, 4, 3, 1]",16,19,12,0.07459616661071777,0
5AJFwf,"[2, 4, 3, 1]","[1, 3, 4, 2]",19,4,4,0.28277140855789185,0
7Q6kHz,"[4, 2, 1, 3]","[2, 3, 1, 4]",15,12,16,0.061177730560302734,0
J9AFgB,"[2, 4, 3, 1]","[2, 3, 4, 1]",19,18,2,0.22067904472351074,0
qtFLPK,"[3, 1, 4, 2]","[3, 1, 2, 4]",10,8,13,0.001191258430480957,0
AsaGLq,"[2, 3, 1, 4]","[3, 1, 4, 2]",12,10,19,0.25473272800445557,0
ghZQMl,"[3, 4, 1, 2]","[1, 2, 4, 3]",16,1,14,0.06620502471923828,0
yS9K3B,"[2, 1, 4, 3]","[1, 2, 4, 3]",7,1,2,0.11572551727294922,0
SP7siQ,"[2, 4, 1, 3]","[1, 4, 2, 3]",13,3,2,0.8340654373168945,0
4Va1l1,"[4, 2, 3, 1]","[2, 4, 3, 1]",21,19,8,0.6835023760795593,0
4T1XYn,"[4, 3, 2, 1]","[4, 2, 3, 1]",23,21,3,0.47356945276260376,0
mnrSnJ,"[3, 1, 4, 2]","[4, 2, 1, 3]",10,15,14,0.12054765224456787,0
o2zFpx,"[4, 1, 3, 2]","[4, 3, 2, 1]",11,23,13,0.053595662117004395,0
rYkBW7,"[1, 4, 2, 3]","[4, 1, 3, 2]",3,11,24,0.5189447402954102,0
IVi4xA,"[2, 4, 3, 1]","[1, 4, 3, 2]",19,5,6,0.3182893991470337,0
wcFL3R,"[1, 2, 3, 4]","[2, 1, 3, 4]",0,6,4,0.5198336839675903,0
pWbNRu,"[4, 2, 1, 3]","[1, 2, 4, 3]",15,1,16,0.15166795253753662,0
VuYGHD,"[2, 3, 1, 4]","[3, 1, 2, 4]",12,8,12,0.01559293270111084,0
vjkx7H,"[3, 2, 1, 4]","[3, 4, 1, 2]",14,16,6,0.16287708282470703,0
Z30Ghq,"[1, 2, 3, 4]","[1, 4, 2, 3]",0,3,4,1.0562384128570557,0
BHQxpx,"[4, 1, 3, 2]","[3, 2, 1, 4]",11,14,15,0.07526886463165283,0
iAF84v,"[1, 3, 4, 2]","[3, 1, 4, 2]",4,10,14,0.06477499008178711,0
gGvQWC,"[2, 4, 3, 1]","[1, 2, 3, 4]",19,0,7,0.26960569620132446,0
IaYrAN,"[4, 2, 3, 1]","[1, 4, 2, 3]",21,3,24,0.03887605667114258,0
PeiMxR,"[1, 4, 3, 2]","[3, 2, 1, 4]",5,14,18,0.131003737449646,0
mV6DuW,"[1, 3, 4, 2]","[4, 2, 3, 1]",4,21,12,0.4352080225944519,0
F1DmdT,"[3, 2, 4, 1]","[3, 1, 2, 4]",20,8,24,0.19691622257232666,0
pZO6GU,"[1, 3, 4, 2]","[2, 4, 1, 3]",4,13,12,0.3330947756767273,0
evh9XZ,"[1, 2, 3, 4]","[2, 3, 1, 4]",0,12,7,0.11957418918609619,0
5GU7iH,"[1, 2, 4, 3]","[1, 3, 4, 2]",1,4,2,1.7679600715637207,0
Xh6dAJ,"[3, 2, 1, 4]","[1, 2, 4, 3]",14,1,15,0.09494960308074951,0
oqyHGV,"[3, 2, 4, 1]","[3, 1, 4, 2]",20,10,2,2.097259998321533,0
sbsAtY,"[4, 3, 1, 2]","[4, 1, 3, 2]",17,11,4,1.3992620706558228,0
TfOAWK,"[4, 2, 1, 3]","[3, 2, 4, 1]",15,20,6,0.12074697017669678,0
oJ8KJ3,"[3, 4, 2, 1]","[4, 3, 2, 1]",22,23,2,1.7448629140853882,0
HD8W0N,"[2, 1, 3, 4]","[4, 1, 2, 3]",6,9,8,0.09498381614685059,0
PrSu3j,"[1, 2, 3, 4]","[1, 4, 3, 2]",0,5,2,3.554537296295166,0
bUBedw,"[1, 4, 2, 3]","[2, 1, 3, 4]",3,6,12,0.6753506660461426,0
xlKGit,"[1, 2, 3, 4]","[3, 4, 2, 1]",0,22,18,0.3340526819229126,0
Yk8uMQ,"[1, 2, 3, 4]","[4, 1, 3, 2]",0,11,8,0.1705871820449829,0
DQZuVJ,"[4, 3, 1, 2]","[1, 3, 2, 4]",17,2,17,0.1472179889678955,0
T7wzfu,"[2, 1, 3, 4]","[1, 4, 2, 3]",6,3,5,0.1803329586982727,0
tgkHN7,"[3, 4, 1, 2]","[4, 3, 1, 2]",16,17,2,2.199878454208374,0
4Zzo7L,"[4, 2, 3, 1]","[1, 3, 2, 4]",21,2,23,0.2820475101470947,0
u6RCUr,"[4, 3, 1, 2]","[4, 2, 1, 3]",17,15,2,0.07820594310760498,0
ijFDcH,"[4, 2, 1, 3]","[4, 1, 2, 3]",15,9,3,0.47259020805358887,0
BC1nFA,"[3, 4, 1, 2]","[1, 2, 4, 3]",16,1,22,0.6440128087997437,0
3nWoD0,"[4, 2, 3, 1]","[3, 1, 2, 4]",21,8,15,0.502475917339325,0
qfm0jF,"[3, 1, 2, 4]","[4, 3, 2, 1]",8,23,22,0.13872110843658447,0
42nDnY,"[3, 2, 4, 1]","[4, 2, 3, 1]",20,21,2,0.36887186765670776,0
xF4S4a,"[3, 4, 1, 2]","[2, 4, 1, 3]",16,13,3,0.12473046779632568,0
hjvMLc,"[2, 3, 4, 1]","[2, 3, 1, 4]",18,12,22,0.9001388549804688,0
3mv39x,"[3, 2, 1, 4]","[4, 2, 1, 3]",14,15,4,0.09713989496231079,0
DmiSo3,"[2, 3, 1, 4]","[3, 4, 1, 2]",12,16,7,0.026160240173339844,0
ACnUhO,"[2, 3, 4, 1]","[3, 4, 1, 2]",18,16,17,0.06682920455932617,0
Lc4Vh3,"[3, 1, 4, 2]","[4, 2, 1, 3]",10,15,10,0.616898775100708,0
4NlbHI,"[2, 1, 4, 3]","[1, 3, 2, 4]",7,2,14,1.6954118013381958,0
q8RYZT,"[3, 2, 1, 4]","[1, 3, 2, 4]",14,2,11,0.2036057710647583,0
EFJe9V,"[2, 4, 1, 3]","[1, 2, 3, 4]",13,0,11,0.2051471471786499,0
JK9IRR,"[2, 4, 3, 1]","[1, 4, 3, 2]",19,5,4,0.11584162712097168,0
JYIlCB,"[4, 3, 2, 1]","[4, 1, 3, 2]",23,11,6,0.737097978591919,0
4XDiMp,"[4, 3, 2, 1]","[3, 2, 1, 4]",23,14,10,0.06152033805847168,0
gKkdPA,"[1, 3, 4, 2]","[1, 2, 4, 3]",4,1,3,0.0,0
eIbSPW,"[2, 3, 1, 4]","[4, 1, 2, 3]",12,9,14,0.21594882011413574,0
fgWvwV,"[2, 4, 1, 3]","[2, 1, 3, 4]",13,6,22,0.04328280687332153,0
xHvy1N,"[3, 4, 2, 1]","[1, 2, 3, 4]",22,0,14,0.020453691482543945,0
xq8kUB,"[1, 2, 3, 4]","[4, 1, 2, 3]",0,9,11,0.582538366317749,0
TmzS0X,"[1, 4, 2, 3]","[1, 2, 3, 4]",3,0,4,0.11148393154144287,0
OsnGNK,"[1, 2, 4, 3]","[1, 2, 3, 4]",1,0,2,0.0946965217590332,0
y6xyJz,"[4, 2, 1, 3]","[3, 2, 1, 4]",15,14,2,0.27203667163848877,0
WR6CGP,"[2, 1, 3, 4]","[3, 1, 2, 4]",6,8,3,0.7502478957176208,0
ZgOflG,"[1, 4, 2, 3]","[4, 2, 1, 3]",3,15,5,0.7220413684844971,0
Mroold,"[1, 2, 4, 3]","[1, 4, 2, 3]",1,3,14,0.2956472635269165,0
U6f3cQ,"[1, 2, 4, 3]","[3, 4, 2, 1]",1,22,17,0.035778045654296875,0
xsfs0f,"[1, 4, 2, 3]","[4, 2, 1, 3]",3,15,19,0.15586578845977783,0
t9wx6Q,"[2, 3, 1, 4]","[3, 2, 4, 1]",12,20,4,0.36041688919067383,0
a8hKkh,"[4, 1, 3, 2]","[1, 3, 2, 4]",11,2,21,0.12320554256439209,0
4k6vn7,"[3, 4, 1, 2]","[1, 4, 2, 3]",16,3,10,0.2766662836074829,0
cVPddD,"[2, 4, 1, 3]","[3, 4, 2, 1]",13,22,9,0.04400980472564697,0
nGYYvY,"[3, 2, 1, 4]","[2, 3, 1, 4]",14,12,3,0.06994634866714478,0
3291TI,"[2, 3, 4, 1]","[1, 3, 4, 2]",18,4,2,0.6479183435440063,0
9tQU5g,"[1, 2, 3, 4]","[1, 3, 2, 4]",0,2,3,0.4592999219894409,0
XmW7Cv,"[3, 2, 4, 1]","[1, 3, 2, 4]",20,2,23,0.3091754913330078,0
6oVYt0,"[1, 2, 3, 4]","[3, 4, 1, 2]",0,16,20,0.2314777374267578,0
swBFAw,"[3, 1, 4, 2]","[4, 1, 3, 2]",10,11,2,0.307003915309906,0
ZgnzAK,"[1, 2, 4, 3]","[1, 3, 4, 2]",1,4,2,0.4577506184577942,0
StGg7n,"[1, 2, 4, 3]","[2, 1, 4, 3]",1,7,5,0.08198177814483643,0
dMleXE,"[3, 2, 4, 1]","[1, 2, 3, 4]",20,0,17,0.34614884853363037,0
pTSQt8,"[2, 1, 4, 3]","[3, 2, 1, 4]",7,14,9,0.039253830909729004,0
laLuXN,"[2, 1, 3, 4]","[4, 2, 3, 1]",6,21,14,0.5072166323661804,0
hmrxPp,"[3, 1, 2, 4]","[4, 1, 2, 3]",8,9,2,0.32835304737091064,0
DQh31N,"[3, 2, 1, 4]","[1, 2, 3, 4]",14,0,6,2.2275047302246094,0
dmpz6J,"[1, 4, 3, 2]","[4, 1, 3, 2]",5,11,10,0.7336891889572144,0
g0nThv,"[4, 1, 2, 3]","[4, 1, 3, 2]",9,11,3,0.2672601342201233,0
OYyXwe,"[4, 1, 3, 2]","[1, 3, 2, 4]",11,2,21,0.08140957355499268,0
MuDzRe,"[2, 1, 3, 4]","[3, 2, 4, 1]",6,20,12,0.7451107501983643,0
Tvzz2I,"[4, 3, 1, 2]","[1, 2, 4, 3]",17,1,22,0.04461538791656494,0
iRK9NH,"[3, 4, 1, 2]","[1, 3, 2, 4]",16,2,13,0.32304465770721436,0
GKKOYM,"[3, 2, 1, 4]","[4, 2, 1, 3]",14,15,2,0.08501815795898438,0
tTBZTg,"[4, 3, 2, 1]","[2, 1, 4, 3]",23,7,23,0.6969186067581177,0
bclc5q,"[1, 2, 3, 4]","[2, 1, 4, 3]",0,7,6,1.975076675415039,0
w3ZcRQ,"[1, 2, 3, 4]","[2, 1, 3, 4]",0,6,2,0.46743273735046387,0
enk4I4,"[2, 1, 4, 3]","[2, 1, 3, 4]",7,6,5,3.859870195388794,0
Dzq7yB,"[2, 4, 1, 3]","[2, 3, 4, 1]",13,18,8,0.39393413066864014,0
lCwk5n,"[4, 1, 2, 3]","[4, 3, 2, 1]",9,23,7,1.12619149684906,0
Xu5whZ,"[1, 4, 3, 2]","[1, 4, 2, 3]",5,3,2,0.10186183452606201,0
bDjbOE,"[1, 3, 2, 4]","[1, 4, 3, 2]",2,5,5,0.009909391403198242,0
qIaPOC,"[4, 2, 1, 3]","[4, 2, 3, 1]",15,21,11,0.4244023561477661,0
uaN86G,"[1, 2, 3, 4]","[3, 2, 1, 4]",0,14,4,0.35715556144714355,0
s0ConF,"[1, 2, 3, 4]","[2, 3, 4, 1]",0,18,5,0.5859019756317139,0
isPd9R,"[3, 1, 4, 2]","[2, 3, 1, 4]",10,12,20,0.05417156219482422,0
R3DxCo,"[3, 1, 4, 2]","[4, 1, 3, 2]",10,11,2,0.025098085403442383,0
0gtkeC,"[3, 2, 4, 1]","[1, 4, 2, 3]",20,3,24,0.10367858409881592,0
ObTqO3,"[2, 4, 3, 1]","[3, 4, 1, 2]",19,16,10,0.06030380725860596,0
jx3mRx,"[3, 1, 4, 2]","[2, 1, 4, 3]",10,7,2,2.3295655250549316,0
